crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
05/03/2014,12:50:00,MANHATTAN,10010,40.7388307,-73.9831481,"(40.7388307, -73.9831481)",3 AVENUE,EAST 23 STREET,NA,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,NA,NA,NA,NA,329732,SPORT UTILITY / STATION WAGON,NA,NA,NA,NA
07/18/2018,10:10:00,QUEENS,11434,40.68012,-73.76241,"(40.68012, -73.76241)",NA,NA,130-35    MERRICK BOULEVARD,1,0,0,0,0,0,1,0,Accelerator Defective,NA,NA,NA,NA,3944148,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
05/15/2017,07:45:00,QUEENS,11354,40.773445,-73.84602,"(40.773445, -73.84602)",NA,NA,27-18     COLLEGE POINT BOULEVARD,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3670447,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
04/11/2017,14:40:00,BROOKLYN,11229,40.59935,-73.93685,"(40.59935, -73.93685)",NA,NA,2185      COYLE STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3649797,Sedan,Sedan,NA,NA,NA
11/07/2018,10:45:00,BROOKLYN,11231,40.681583,-74.002396,"(40.681583, -74.002396)",NA,NA,629       HICKS STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4017227,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
08/19/2013,13:11:00,QUEENS,11418,40.697618,-73.8285769,"(40.697618, -73.8285769)",120 STREET,89 AVENUE,NA,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,NA,NA,NA,206946,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
03/13/2016,13:45:00,MANHATTAN,10029,40.796797,-73.9471753,"(40.796797, -73.9471753)",MADISON AVENUE,EAST 111 STREET,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3404610,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),NA,NA,NA
02/27/2015,14:00:00,NA,NA,NA,NA,NA,187 PLACE,JAMAICA AVENUE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,NA,NA,NA,3177301,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
01/07/2014,11:30:00,NA,NA,NA,NA,NA,PENNSYLVANIA AVENUE,GENEVA LOOP,NA,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,NA,NA,NA,169963,TAXI,PASSENGER VEHICLE,NA,NA,NA
05/01/2014,08:45:00,NA,NA,NA,NA,NA,220 STREET,NORTHERN BOULEVARD,NA,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,NA,NA,NA,328529,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
03/09/2018,13:00:00,BRONX,10467,40.881992,-73.87718,"(40.881992, -73.87718)",EAST 211 STREET,WAYNE AVENUE,NA,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,NA,NA,NA,3860139,Sedan,Box Truck,NA,NA,NA
11/08/2012,18:15:00,BRONX,10457,40.844371,-73.8890163,"(40.844371, -73.8890163)",EAST TREMONT AVENUE,PROSPECT AVENUE,NA,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,NA,NA,NA,100483,SPORT UTILITY / STATION WAGON,VAN,NA,NA,NA
03/27/2021,16:00:00,QUEENS,11101,NA,NA,NA,NA,NA,27-19     44drive,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4402142,Sedan,Sedan,NA,NA,NA
08/16/2017,09:25:00,BROOKLYN,11237,40.712807,-73.92403,"(40.712807, -73.92403)",NA,NA,174       SCOTT AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3732170,Station Wagon/Sport Utility Vehicle,trail,NA,NA,NA
12/04/2018,08:00:00,BROOKLYN,11224,40.578003,-73.9937,"(40.578003, -73.9937)",NEPTUNE AVENUE,WEST 27 STREET,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,4037863,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
04/01/2019,11:00:00,QUEENS,11419,40.693115,-73.81977,"(40.693115, -73.81977)",127 STREET,97 AVENUE,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,NA,NA,NA,4107079,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
10/04/2018,10:45:00,NA,NA,40.828075,-73.88543,"(40.828075, -73.88543)",WESTCHESTER AVENUE,SHERIDAN EXPRESSWAY,NA,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Passing Too Closely,NA,NA,NA,3993844,Tractor Truck Diesel,Bike,NA,NA,NA
06/03/2015,09:15:00,BROOKLYN,11212,40.6670963,-73.9227518,"(40.6670963, -73.9227518)",RALPH AVENUE,EAST NEW YORK AVENUE,NA,0,0,0,0,0,0,0,0,Backing Unsafely,NA,NA,NA,NA,3233101,VAN,NA,NA,NA,NA
06/29/2017,10:28:00,BRONX,10451,40.815113,-73.92978,"(40.815113, -73.92978)",WALTON AVENUE,EAST 140 STREET,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3704971,Motorcycle,Carry All,NA,NA,NA
11/07/2016,12:32:00,NA,NA,NA,NA,NA,BRONX RIVER PARKWAY,NA,NA,0,0,0,0,0,0,0,0,Glare,Unspecified,NA,NA,NA,3555881,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
11/23/2021,12:00:00,BROOKLYN,11203,40.64148,-73.939926,"(40.64148, -73.939926)",EAST 39 STREET,AVENUE D,NA,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4480489,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
